LOCALITE;AGENCE;0;1;2;3;4;5;J1;J2;J3
Agadir;Agence agadir;0;0;0;0;0;0;1;0;0
Guelmim;Agence Guelmim;0;0;0;0;0;0;1;0;0
Biougra;Agence agadir;0;0;0;0;0;0;1;0;0
Tan tan;Agence Guelmim;1;0;1;0;0;0;0;0;0
Ait melloul;Agence agadir;0;0;0;0;0;0;1;0;0
Taroudant;Agence Taroudant;0;0;0;0;0;0;1;0;0
Sidi ifni;Agence Tiznit;1;0;1;0;0;0;0;0;0
Taliouine;Agence Taroudant;1;0;1;0;0;0;0;0;0
Houara;Agence tanger;0;0;0;0;0;0;0;1;0
Tiznit;Agence Tiznit;0;0;0;0;0;0;1;0;0
Ait amira;Agence agadir;0;0;0;0;0;0;0;1;0
Ait aiaazza;Agence Taroudant;0;0;0;0;0;0;1;0;0
Taghazout;Agence agadir;0;0;0;0;0;0;1;0;0
Ait baha;Agence agadir;0;0;0;0;1;0;0;0;0
Tafraout;Agence Tiznit;0;0;0;0;1;0;0;0;0
Ait daoud;Agence agadir;0;1;0;0;0;0;0;0;0
Akka;Agence Taroudant;0;0;0;1;0;0;0;0;0
Aoufous;Agence Errachidia;0;0;0;0;1;0;0;0;0
Aoulouz;Agence Taroudant;1;0;1;0;0;0;0;0;0
Aourir;Agence agadir;0;0;0;0;0;0;1;0;0
Assa;Agence Guelmim;0;0;0;0;0;1;0;0;0
Bouizakarne;Agence Guelmim;0;1;0;1;0;0;0;0;0
Dcheira el jihadia;Agence agadir;0;0;0;0;0;0;1;0;0
Drargua;Agence agadir;0;0;0;0;0;0;1;0;0
El ouatia;Agence laayoune;1;0;0;0;0;0;0;0;0
Fam el hisn;Agence Guelmim;0;0;0;1;0;0;0;0;0
Ifrane atlas saghir;Agence Guelmim;0;0;0;1;0;0;0;0;0
Imouzzer des ida outanane;Agence agadir;0;1;0;0;0;0;0;0;0
Inezgane;Agence agadir;0;0;0;0;0;0;1;0;0
Igherm;Agence Taroudant;0;0;0;1;0;0;0;0;0
Lakhsas;Agence Tiznit;0;0;0;0;0;1;0;0;0
Lqliaa;Agence agadir;0;0;0;0;0;0;1;0;0
Massa;Agence Tiznit;0;1;0;1;0;0;0;0;0
Oulad berhil;Agence Taroudant;1;0;1;0;0;0;0;0;0
Oulad teima;Agence agadir;0;0;0;0;0;0;1;0;0
Oum el guerdane;Agence Taroudant;0;1;0;0;0;1;0;0;0
Sebt el guerdane;Agence Taroudant;0;1;0;0;0;1;0;0;0
Taghjijt;Agence Guelmim;0;1;0;1;0;0;0;0;0
Tamanar;Agence agadir;0;1;0;0;0;0;0;0;0
Tata;Agence Taroudant;0;0;0;1;0;0;0;0;0
Temsia;Agence agadir;0;0;0;0;0;0;1;0;0
Zag;Agence Guelmim;0;0;0;0;0;1;0;0;0
Lagfifat;Agence agadir;0;0;0;0;0;0;1;0;0
Ait igas;Agence Taroudant;1;0;1;0;0;0;0;0;0
Ouijjane;Agence Tiznit;0;0;0;0;0;0;1;0;0
Sidi bibi;Agence agadir;1;0;1;0;1;0;0;0;0
Bounaamane;Agence Tiznit;1;0;0;0;0;0;0;0;0
Mirleft;Agence Tiznit;1;0;0;0;0;0;0;0;0
Belfaa;Agence agadir;1;0;1;0;1;0;0;0;0
Argana;Agence agadir;0;0;0;1;0;0;0;0;0
Agence taroudant;Agence Taroudant;0;0;0;0;0;0;1;0;0
Igherm;Agence Taroudant;0;0;0;1;0;0;0;0;0
Tanalt;Agence tiznit;0;0;0;0;1;0;0;0;0
Imsouane;Agence agadir;0;1;0;0;0;0;0;0;0
Sidi moussa hamri;Agence Taroudant;0;1;0;0;0;1;0;0;0
Ida ou semlal;Agence Tiznit;0;0;0;0;1;0;0;0;0
Aglou;Agence Tiznit;1;0;1;0;1;0;0;0;0
Timoulay;Agence Tiznit;1;0;1;0;1;0;0;0;0
Anza;Agence agadir;0;0;0;0;0;0;1;0;0
Tin mansour;Agence agadir;1;0;1;0;1;0;0;0;0
Tikiouine;Agence agadir;0;0;0;0;0;0;1;0;0
Khmis ait wafka;Agence Tiznit;0;0;0;0;1;0;0;0;0
Tighmi;Agence Tiznit;0;0;0;0;1;0;0;0;0
Chtouka ait baha;Agence agadir;0;0;0;0;1;0;0;0;0
Tamri;Agence agadir;0;1;0;0;0;0;0;0;0
Amskroud;Agence agadir;0;0;0;0;0;0;1;0;0
Tissint;Agence Taroudant;0;0;0;1;0;0;0;0;0
Lakhssas;Agence Tiznit;0;0;0;0;0;1;0;0;0
Tamait;Agence agadir;0;0;0;0;0;0;1;0;0
Tighirt;Agence Tiznit;0;0;0;0;0;1;0;0;0
Anzi;Agence Tiznit;0;0;0;0;1;0;0;0;0
Tizoughrane;Agence Tiznit;0;0;0;0;1;0;0;0;0
Ait iaaza;Agence Taroudant;0;0;0;0;0;0;1;0;0
Arbaa sahel;Agence Tiznit;1;0;1;0;1;0;0;0;0
Tioughza;Agence Tiznit;0;0;1;0;0;0;0;0;0
Zaouia sidi tahar;Agence Taroudant;0;1;0;0;0;1;0;0;0
Bensergao;Agence agadir;0;0;0;0;0;0;1;0;0
Issafen;Agence Taroudant;0;0;0;1;0;0;0;0;0
Machraa el ain;Agence Taroudant;0;1;0;0;0;1;0;0;0
Tadrart;Agence agadir;0;1;0;0;0;0;0;0;0
Oulad aarfa;Agence Taroudant;0;0;0;0;0;0;1;0;0
Abaynou;Agence Guelmim;0;0;0;0;0;0;1;0;0
Ida ougnidif;Agence agadir;0;0;0;0;1;0;0;0;0
Adis;Agence Taroudant;0;0;0;1;0;0;0;0;0
Tagante;Agence Guelmim;0;1;0;1;0;0;0;0;0
Tafingoult;Agence Taroudant;1;0;1;0;0;0;0;0;0
Tamraght;Agence agadir;0;0;0;0;0;0;1;0;0
Ait boutayeb;Agence agadir;0;0;0;0;0;0;0;1;0
Ouzioua;Agence Taroudant;1;0;1;0;0;0;0;0;0
Tazmourte;Agence Taroudant;0;0;0;0;0;0;1;0;0
Ouled jerrar;Agence fès;1;0;0;0;0;0;0;0;0
El koudia el beida;Agence Taroudant;0;0;0;0;0;0;1;0;0
Oulad tarna;Agence Taroudant;0;0;0;0;0;0;1;0;0
Nador;Agence nador;0;0;0;0;0;0;1;0;0
Zaio;Agence nador;0;1;0;0;0;0;0;0;0
Bni Bouifrour;Agence nador;0;0;0;0;0;0;1;0;0
Bni bouayach;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Al hoceima;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Zeghanghane;Agence nador;0;0;0;0;0;0;1;0;0
Targuist;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Issaguen;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Boudinar;Agence nador;1;0;1;0;1;0;0;0;0
Ajdir hoceima;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Al aroui;Agence nador;1;0;1;0;1;0;0;0;0
Ben taieb;Agence nador;1;0;1;0;1;0;0;0;0
Beni chiker;Agence nador;0;0;0;0;0;1;0;0;0
Beni ensar;Agence nador;0;0;0;0;0;1;0;0;0
Bni hadifa;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Dar el kebdani;Agence nador;1;0;1;0;1;0;0;0;0
Driouch;Agence nador;1;0;1;0;1;0;0;0;0
Farkhana;Agence nador;0;0;0;0;0;1;0;0;0
Ihddaden;Agence nador;0;0;0;0;0;0;1;0;0
Imzouren;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Jaadar;Agence nador;0;0;0;0;0;0;1;0;0
Kariat arekmane;Agence nador;0;1;0;0;0;0;0;0;0
Kassita;Agence nador;1;0;1;0;1;0;0;0;0
Kerouna;Agence nador;1;0;1;0;1;0;0;0;0
Midar;Agence nador;1;0;1;0;1;0;0;0;0
Ras el ma;Agence nador;0;1;0;0;0;0;0;0;0
Selouane;Agence nador;1;0;1;0;1;0;0;0;0
Sidi bouafif;Agence AL Houceima;1;0;1;0;1;0;0;0;0
Tafrisset;Agence nador;1;0;1;0;1;0;0;0;0
Tamassint;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Tiztoutine;Agence nador;1;0;1;0;1;0;0;0;0
Touima;Agence nador;0;0;0;0;0;0;1;0;0
Ait youssef ou ali;Agence AL Houceima;1;0;1;0;1;0;0;0;0
Ain zohra;Agence nador;1;0;1;0;1;0;0;0;0
Ait kamra;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Beni sidel louta;Agence nador;1;0;1;0;1;0;0;0;0
Trougout;Agence AL Houceima;0;0;0;0;0;1;0;0;0
Temsamane;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Iaazanene;Agence nador;1;0;1;0;1;0;0;0;0
Bni boufrah;Agence AL Houceima;0;0;0;0;1;0;0;0;0
Ifarni;Agence nador;1;0;1;0;1;0;0;0;0
Tafersit;Agence nador;1;0;1;0;1;0;0;0;0
Beni abdellah;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Rouadi;Agence AL Houceima;0;0;0;0;1;0;0;0;0
Beni sidal jbel;Agence nador;1;0;1;0;1;0;0;0;0
Tsaft;Agence nador;1;0;1;0;1;0;0;0;0
Abdelghaya souahel;Agence tétouan;0;1;0;0;1;0;0;0;0
Azlaf;Agence nador;1;0;1;0;1;0;0;0;0
Khémisset;Agence khémisset;0;0;0;0;0;0;1;0;0
Tiflet;Agence khémisset;1;0;1;0;1;0;0;0;0
Maaziz;Agence khémisset;0;1;0;1;0;0;0;0;0
Oulmès;Agence khémisset;0;1;0;0;0;0;0;0;0
Rommani;Agence khémisset;0;0;0;1;0;0;0;0;0
Sidi allal el bahraoui;Agence khémisset;1;0;1;0;0;0;0;0;0
Tidass;Agence khémisset;0;1;0;0;0;0;0;0;0
Ait yadin;Agence khémisset;1;0;0;0;0;0;0;0;0
Ain sbit;Agence khémisset;0;1;0;0;0;0;0;0;0
Ezzhiliga;Agence khémisset;0;0;0;1;0;0;0;0;0
El brachoua;Agence khémisset;0;1;0;0;0;0;0;0;0
El kansera;Agence khémisset;1;0;0;0;0;0;0;0;0
Sidi abderrazzak;Agence khémisset;0;0;1;0;0;0;0;0;0
Merchouch;Agence khémisset;0;1;0;0;0;0;0;0;0
Laghoualem;Agence khémisset;0;0;0;1;0;0;0;0;0
Sfassif;Agence khémisset;0;0;0;0;0;1;0;0;0
Beni mellal;Agence Beni mellal;0;0;0;0;0;0;1;0;0
Fkih ben salah;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Kasba tadla;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Sidi jaber;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Aghbala;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Souk sebt oulad nemma;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Ouaouizeght;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Ait ishaq;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Azilal;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Bradia;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Bzou;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Dar ould zidouh;Agence Beni mellal;0;0;0;0;1;0;0;0;0
El ksiba;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Foum jamaa;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Oulad ayad;Agence Beni mellal;0;0;0;0;1;0;0;0;0
Oulad Bourahmoun;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Oulad m'barek;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Oulad mrah;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Oulad yaich;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Tighassaline;Agence meknès;0;0;1;0;0;0;0;0;0
Zaouiat cheikh;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Ouled moussa;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Taghzirt;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Ait attab;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Oulad youssef;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Tizi nisli;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Sidi aissa;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Oulad mbarek;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Sidi hammadi;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Bin el ouidane;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Ahl merbaa;Agence Beni mellal;0;1;0;0;0;0;0;0;0
Tanant;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Tabant;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Ouzoud;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Bou moussa;Agence Beni mellal;0;0;0;0;1;0;0;0;0
Oulad zmam;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Ghorm el alem;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Douar jdid;Agence marrakech;0;1;0;0;0;0;0;0;0
Beni ayat;Agence Beni mellal;0;0;0;0;1;0;0;0;0
Ait m'hamed;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Moulay aissa ben driss;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Wawla;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Ait taguella;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Timoulilte;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Tagelft;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Afourar;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Tanougha;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Ait ouabelli;Agence Taroudant;0;0;0;1;0;0;0;0;0
Foum oudi;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Ighrem laalam;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Ouaoula;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Taounza;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Beni oukil;Agence nador;1;0;1;0;1;0;0;0;0
Beni chegdale;Agence Beni mellal;0;0;0;0;1;0;0;0;0
Casablanca;Agence casablanca;0;0;0;0;0;0;1;0;0
Dar bouazza;Agence casablanca;0;0;0;0;0;0;1;0;0
Bouskoura;Agence casablanca;0;0;0;0;0;0;1;0;0
Had soualem;Agence casablanca;0;0;0;0;0;0;1;0;0
Ain harrouda;Agence casablanca;0;0;0;0;0;0;1;0;0
Médiouna;Agence casablanca;0;0;0;0;0;0;1;0;0
Nouaceur;Agence casablanca;0;0;0;0;0;0;1;0;0
Lahraouyine;Agence casablanca;0;0;0;0;0;0;1;0;0
Sidi rahhal;Agence casablanca;0;0;0;0;0;0;1;0;0
Tit mellil;Agence casablanca;0;0;0;0;0;0;1;0;0
Tamaris;Agence casablanca;0;0;0;0;0;0;1;0;0
Dakhla;Agence dakhla;0;0;0;0;0;0;0;0;1
Lagouira;Agence dakhla;0;0;0;0;0;1;0;0;0
Mhiriz;Agence dakhla;0;0;0;0;0;1;0;0;0
El jadida;Agence el jadida;0;0;0;0;0;0;1;0;0
Sidi bennour;Agence el jadida;0;1;0;0;1;0;0;0;0
Azemmour;Agence el jadida;0;0;0;0;0;0;1;0;0
Oualidia;Agence el jadida;1;0;0;1;0;0;0;0;0
Zemamra;Agence el jadida;1;0;0;1;0;0;0;0;0
Ouled hamdane;Agence el jadida;0;0;0;0;0;0;1;0;0
Oulad si bouhya;Agence el jadida;0;1;0;0;1;0;0;0;0
Laâounate;Agence el jadida;0;1;0;0;1;0;0;0;0
Lbir jdid;Agence el jadida;0;1;0;0;1;0;0;0;0
Moulay abdallah;Agence el jadida;0;0;0;0;0;0;1;0;0
Oulad amrane;Agence el jadida;0;1;0;0;1;0;0;0;0
Oulad frej;Agence el jadida;0;1;0;0;1;0;0;0;0
Oulad ghadbane;Agence el jadida;0;0;0;0;0;0;1;0;0
Sebt el maarif;Agence el jadida;0;0;0;0;0;0;1;0;0
Sidi bouzid;Agence el jadida;0;0;0;0;0;0;1;0;0
Sidi smail;Agence el jadida;0;1;0;0;1;0;0;0;0
Tnine chtouka;Agence el jadida;0;1;0;0;1;0;0;0;0
Sidi el abed;Agence el jadida;1;0;0;1;0;0;0;0;0
Ben maachou;Agence el jadida;0;1;0;0;1;0;0;0;0
Tnine gharbia;Agence tétouan;0;1;0;0;1;0;0;0;0
Boulaouane;Agence el jadida;0;1;0;0;1;0;0;0;0
Larbaa Moghress;Agence el jadida;0;1;0;0;1;0;0;0;0
Ouled ghanem;Agence el jadida;1;0;0;1;0;0;0;0;0
Sidi ali;Agence el jadida;0;0;0;0;0;0;1;0;0
Oulad bouaziz;Agence el jadida;0;1;0;0;1;0;0;0;0
Oulad hcine;Agence el jadida;0;1;0;0;1;0;0;0;0
Laaouinate;Agence el jadida;0;1;0;0;1;0;0;0;0
Jabria;Agence el jadida;0;1;0;0;1;0;0;0;0
Metrane;Agence el jadida;0;1;0;0;1;0;0;0;0
Msawer rasso;Agence el jadida;0;0;0;0;0;0;1;0;0
El Maachate;Agence el jadida;0;1;0;0;1;0;0;0;0
Bou ahmed;Agence el jadida;0;1;0;0;1;0;0;0;0
Jemaa mtal;Agence el jadida;0;1;0;0;1;0;0;0;0
Haouzia;Agence el jadida;0;0;0;0;0;0;1;0;0
Saniat berguig;Agence el jadida;1;0;0;1;0;0;0;0;0
Oulad aissa;Agence el jadida;1;0;0;1;0;0;0;0;0
Kénitra;Agence kénitra;0;0;0;0;0;0;1;0;0
Sidi kacem;Agence kénitra;1;0;1;0;0;0;0;0;0
Sidi allal tazi;Agence kénitra;0;0;0;1;0;0;0;0;0
Ain dorij;Agence fès;1;0;0;0;0;0;0;0;0
Brikcha;Agence Larache;0;1;0;0;0;0;0;0;0
Dar gueddari;Agence kénitra;0;0;0;0;0;1;0;0;0
Had kourt;Agence kénitra;0;1;0;0;0;0;0;0;0
Jorf el melha;Agence kénitra;0;0;0;0;1;0;0;0;0
Khénichet;Agence kénitra;0;0;0;0;1;0;0;0;0
Mechra bel ksiri;Agence kénitra;0;1;0;0;0;0;0;0;0
Mehdya;Agence kénitra;0;0;0;0;0;0;1;0;0
Sidi slimane;Agence kénitra;1;0;1;0;0;0;0;0;0
Sidi taibi;Agence kénitra;0;0;0;0;0;0;0;1;0
Sidi yahya el gharb;Agence kénitra;1;0;1;0;0;1;0;0;0
Zirara;Agence kénitra;1;0;1;0;0;0;0;0;0
Sidi mohamed lahmer;Agence kénitra;0;0;0;1;0;0;0;0;0
Ben mansour;Agence kénitra;0;0;0;1;0;0;0;0;0
Guelalfa msaada;Agence kénitra;0;0;0;0;1;0;0;0;0
Sidi ameur al hadi;Agence Larache;0;1;0;0;0;0;0;0;0
Zaitrat;Agence kénitra;1;0;1;0;0;0;0;0;0
Dar bel amri;Agence kénitra;1;0;1;0;0;0;0;0;0
Mograne;Agence kénitra;0;0;0;1;0;0;0;0;0
Sidi el kamel;Agence kénitra;0;1;0;0;0;0;0;0;0
Nouirate;Agence kénitra;0;1;0;0;0;0;0;0;0
Souk tlet du gharb;Agence kénitra;0;0;0;1;0;0;0;0;0
Sidi ayache;Agence kénitra;0;0;0;0;0;0;0;1;0
Ain defali;Agence kénitra;0;0;0;0;1;0;0;0;0
Bir rami;Agence kénitra;0;0;0;0;0;0;1;0;0
Asjen;Agence Larache;0;1;0;0;0;0;0;0;0
Ouazzane;Agence Larache;0;1;0;0;0;0;0;0;0
El mrabih;Agence kénitra;0;0;0;0;0;0;0;1;0
Masmouda;Agence Larache;0;1;0;0;0;0;0;0;0
Boumaiz;Agence kénitra;1;0;1;0;0;0;0;0;0
Laayayda;Agence rabat;0;0;0;0;0;0;0;1;0
Ouannana;Agence fès;1;0;0;0;0;0;0;0;0
El houafate;Agence kénitra;0;1;0;0;0;0;0;0;0
Zegota;Agence kénitra;1;0;0;0;0;0;0;0;0
Khouribga;Agence khouribga;0;0;0;0;0;0;1;0;0
Boujniba;Agence khouribga;0;0;0;0;0;0;1;0;0
Bejaad;Agence khouribga;1;0;1;0;1;0;0;0;0
Oued zem;Agence khouribga;1;0;1;0;1;0;0;0;0
Ben ahmed;Agence khouribga;0;1;0;0;0;0;0;0;0
Boulanouare;Agence khouribga;0;0;0;0;0;1;0;0;0
Hattane;Agence khouribga;0;0;0;0;0;1;0;0;0
Loulad;Agence khouribga;0;1;0;0;0;0;0;0;0
Moulay bouazza;Agence khouribga;1;0;1;0;1;0;0;0;0
Ait ammar;Agence khouribga;1;0;1;0;1;0;0;0;0
Ouled boughadi;Agence khouribga;1;0;1;0;1;0;0;0;0
Lagfaf;Agence khouribga;1;0;1;0;1;0;0;0;0
Bir mezou;Agence khouribga;1;0;1;0;1;0;0;0;0
Ben khiran;Agence khouribga;1;0;1;0;1;0;0;0;0
Bir mezoui;Agence khouribga;1;0;1;0;1;0;0;0;0
Braksa;Agence khouribga;1;0;1;0;1;0;0;0;0
Laayoune Sud;Agence laayoune;0;0;0;0;0;0;0;1;0
Es semara;Agence laayoune;0;0;0;0;1;0;0;0;0
Boujdour;Agence laayoune;0;0;1;0;0;0;0;0;0
Tarfaya;Agence laayoune;1;0;0;0;0;0;0;0;0
El marsa;Agence laayoune;0;0;0;0;0;0;0;1;0
Akhfennir;Agence laayoune;1;0;0;0;0;0;0;0;0
Foum el oued;Agence laayoune;0;0;0;0;0;0;0;1;0
Aftissat;Agence laayoune;0;0;1;0;0;0;0;0;0
Agti el ghazi;Agence laayoune;0;0;1;0;0;0;0;0;0
Marrakech;Agence marrakech;0;0;0;0;0;0;1;0;0
Ben guerir;Agence marrakech;1;0;0;1;0;1;0;0;0
Tamansourt;Agence marrakech;0;0;0;0;0;1;0;0;0
El kelaa des sraghna;Agence marrakech;1;0;0;1;0;0;0;0;0
Demnate;Agence marrakech;0;0;1;0;0;0;0;0;0
Imintanoute;Agence marrakech;0;1;0;0;0;0;0;0;0
Ourika;Agence marrakech;0;0;0;0;1;0;0;0;0
Ait ourir;Agence marrakech;1;0;1;0;0;0;0;0;0
Amizmiz;Agence marrakech;0;1;0;0;0;0;0;0;0
Assahrij;Agence marrakech;0;0;1;0;0;0;0;0;0
Chichaoua;Agence marrakech;0;1;0;0;0;0;0;0;0
Aghmat;Agence marrakech;0;0;0;0;1;0;0;0;0
Ighoud;Agence safi;0;1;0;1;0;0;0;0;0
Kattara;Agence marrakech;0;0;0;0;0;1;0;0;0
Laattaouia;Agence marrakech;1;0;0;1;0;0;0;0;0
Lakouablia;Agence marrakech;0;0;0;0;0;1;0;0;0
Lalla takarkoust;Agence marrakech;0;1;0;0;0;0;0;0;0
Moulay brahim;Agence marrakech;0;0;0;0;1;0;0;0;0
Sid l'mokhtar;Agence marrakech;0;1;0;0;0;0;0;0;0
Sid zouin;Agence marrakech;0;1;0;0;0;0;0;0;0
Sidi abdallah ghiat;Agence marrakech;0;0;1;0;0;0;0;0;0
Sidi bou othmane;Agence marrakech;1;0;0;1;0;1;0;0;0
Skhour rehamna;Agence marrakech;0;0;0;0;0;1;0;0;0
Tahannaout;Agence marrakech;0;0;0;0;1;0;0;0;0
Tameslouht;Agence marrakech;0;1;0;0;0;0;0;0;0
Douar saidat;Agence marrakech;0;1;0;0;0;0;0;0;0
Zemrane charqia;Agence marrakech;1;0;0;1;0;0;0;0;0
Asni;Agence marrakech;0;0;0;0;1;0;0;0;0
Bouchane;Agence marrakech;0;0;0;0;0;1;0;0;0
Touama;Agence marrakech;0;0;1;0;0;0;0;0;0
Ait hadi;Agence marrakech;0;1;0;0;0;0;0;0;0
Tamelelt;Agence marrakech;1;0;0;1;0;0;0;0;0
Ataouia;Agence marrakech;1;0;0;1;0;0;0;0;0
Harbil;Agence marrakech;0;0;0;0;0;1;0;0;0
El amria;Agence marrakech;1;0;0;1;0;0;0;0;0
Chwiter;Agence marrakech;1;0;1;0;0;0;0;0;0
Loudaya;Agence marrakech;0;1;0;0;0;0;0;0;0
Zaouïa de sidi ghanem;Agence marrakech;0;1;0;0;0;0;0;0;0
Al haouz;Agence marrakech;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Nzalet el adam;Agence marrakech;1;0;0;1;0;0;0;0;0
Mzoudia;Agence marrakech;0;1;0;0;0;0;0;0;0
Imlil;Agence marrakech;0;0;0;0;1;0;0;0;0
Nzalat laadam;Agence marrakech;1;0;0;1;0;1;0;0;0
Talat n'yaaqoub;Agence marrakech;0;0;0;0;1;0;0;0;0
Ait majden;Agence marrakech;0;0;1;0;0;0;0;0;0
Mzem sendhaja;Agence marrakech;1;0;0;1;0;0;0;0;0
Oulad dlim;Agence marrakech;0;0;0;0;0;1;0;0;0
Tassoultante;Agence marrakech;0;0;0;0;1;0;0;0;0
Agafay;Agence marrakech;0;1;0;0;0;0;0;0;0
Ait imour;Agence marrakech;0;1;0;0;0;0;0;0;0
Al ouidane;Agence marrakech;1;0;0;1;0;0;0;0;0
Douirane;Agence marrakech;0;1;0;0;0;0;0;0;0
Jaidate;Agence marrakech;1;0;0;1;0;0;0;0;0
Ait faska;Agence marrakech;0;0;1;0;0;0;0;0;0
Tassaout;Agence marrakech;1;0;0;1;0;0;0;0;0
Ait tamlil;Agence marrakech;0;0;1;0;0;0;0;0;0
Wld bani;Agence marrakech;0;1;0;0;0;0;0;0;0
Frouga;Agence marrakech;0;1;0;0;0;0;0;0;0
Sidi rahhal sud;Agence marrakech;0;0;1;0;0;0;0;0;0
Tidili;Agence marrakech;0;0;1;0;0;0;0;0;0
Ararcha;Agence marrakech;1;0;0;1;0;0;0;0;0
Ouled zerrad;Agence marrakech;1;0;0;1;0;0;0;0;0
