LOCALITE;AGENCE;0;1;2;3;4;5;J1;J2;J3
Tafroukhte;Agence marrakech;0;1;0;0;0;0;0;0;0
Ouled hassoune;Agence marrakech;0;0;1;0;0;0;0;0;0
Jdoura;Agence marrakech;0;0;0;0;0;1;0;0;0
Tighdouine;Agence marrakech;0;0;1;0;0;0;0;0;0
Ait blal;Agence marrakech;0;0;1;0;0;0;0;0;0
Agence khémisset;Agence khémisset;0;0;0;0;0;0;1;0;0
Meknès;Agence meknès;0;0;0;0;0;0;1;0;0
Errachidia;Agence Errachidia;0;0;0;0;0;0;0;1;0
El Jorf;Agence Errachidia;0;0;0;0;1;0;0;0;0
Amanikidar;Agence  Errachidia;1;0;0;0;0;0;0;0;0
M'ssici;Agence  Errachidia;0;0;0;0;1;0;0;0;0
Tinghir;Agence Errachidia;1;0;0;0;0;0;0;0;0
Moulay driss zerhoun;Agence meknès;0;1;0;0;0;0;0;0;0
Tinejdad;Agence Errachidia;1;0;0;0;1;0;0;0;0
Imilchil;Agence beni mellal;0;0;1;0;0;0;0;0;0
El hajeb;Agence meknès;1;0;0;0;1;0;0;0;0
Erfoud;Agence Errachidia;0;0;0;0;1;0;0;0;0
Moulay ali chérif rissani;Agence Errachidia;0;0;0;0;1;0;0;0;0
Alnif;Agence Errachidia;0;0;0;0;1;0;0;0;0
Midelt;Agence Errachidia;0;1;0;1;0;0;0;0;0
Ain taoujdate;Agence meknès;0;0;0;0;1;0;0;0;0
Aghbalou;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Agourai;Agence meknès;0;0;0;0;0;1;0;0;0
Aguelmous;Agence meknès;0;0;1;0;0;0;0;0;0
Ain jemaa;Agence meknès;0;1;0;0;0;0;0;0;0
Ain karma;Agence meknès;0;1;0;0;0;0;0;0;0
Ain leuh;Agence meknès;1;0;0;0;0;0;0;0;0
Ait boubidmane;Agence meknès;0;0;0;0;1;0;0;0;0
Amalou ighriben;Agence meknès;0;0;1;0;0;0;0;0;0
Azrou;Agence meknès;1;0;0;0;0;0;0;0;0
Bni tadjite;Agence Errachidia;0;0;0;0;0;1;0;0;0
Bouanane;Agence Errachidia;0;0;0;0;0;1;0;0;0
Boudnib;Agence Errachidia;0;0;0;0;0;1;0;0;0
Boumia;Agence meknès;0;0;0;1;0;0;0;0;0
El kbab;Agence meknès;0;0;1;0;0;0;0;0;0
Er rich;Agence Errachidia;0;1;0;1;0;0;0;0;0
Goulmima;Agence Errachidia;1;0;0;0;0;0;0;0;0
Gourrama;Agence Errachidia;0;1;0;0;0;0;0;0;0
Had bouhssoussen;Agence meknès;0;0;1;0;0;0;0;0;0
Had oued ifrane;Agence meknès;1;0;0;0;0;0;0;0;0
Haj kaddour;Agence meknès;0;0;0;0;1;0;0;0;0
Itzer;Agence meknès;0;0;0;1;0;0;0;0;0
Kehf nsour;Agence meknès;0;0;1;0;0;0;0;0;0
Kerrouchen;Agence meknès;0;0;0;1;0;0;0;0;0
Khénifra;Agence meknès;0;0;1;0;0;0;0;0;0
M'rirt;Agence meknès;0;0;1;0;0;0;0;0;0
Ouislane;Agence meknès;0;0;0;0;0;0;1;0;0
Sabaa aiyoun;Agence meknès;0;0;0;0;0;0;1;0;0
Sebt jahjouh;Agence meknès;0;0;0;0;0;1;0;0;0
Sidi addi;Agence meknès;1;0;0;0;0;0;0;0;0
Sidi ali ban hamdouche;Agence meknès;0;1;0;0;0;0;0;0;0
Tighza;Agence meknès;0;0;1;0;0;0;0;0;0
Timahdite;Agence meknès;1;0;0;0;0;0;0;0;0
Toulal;Agence meknès;0;0;0;0;0;0;1;0;0
Tounfite;Agence meknès;0;0;0;1;0;0;0;0;0
Zaida;Agence meknès;0;0;0;1;0;0;0;0;0
Boufakrane;Agence meknès;1;0;0;0;1;0;0;0;0
Merzouga;Agence Errachidia;0;0;0;0;1;0;0;0;0
Adarouche;Agence meknès;0;0;0;1;0;0;0;0;0
Outerbat;Agence Errachidia;0;0;0;1;0;0;0;0;0
Ait yaazem;Agence meknès;0;0;0;0;0;1;0;0;0
Sebaa aioun;Agence meknès;0;0;0;0;0;0;1;0;0
Ouaoumana;Agence meknès;0;0;1;0;0;0;0;0;0
El borj;Agence meknès;0;0;1;0;0;0;0;0;0
Melaab;Agence Errachidia;0;0;0;0;1;0;0;0;0
Sebt ait rahou;Agence khouribga;0;0;1;0;0;0;0;0;0
Bouderbala;Agence meknès;1;0;0;0;1;0;0;0;0
Ait iaazem;Agence meknès;0;0;0;0;0;1;0;0;0
Mejjat;Agence meknès;1;0;0;0;1;0;0;0;0
Mellab;Agence Errachidia;0;0;0;0;1;0;0;0;0
Bni ammar;Agence meknès;0;1;0;0;0;0;0;0;0
Oued jdida;Agence meknès;0;0;0;0;1;0;0;0;0
Dkhissa;Agence meknès;0;0;0;0;0;0;1;0;0
Kaf n'sour;Agence meknès;0;0;1;0;0;0;0;0;0
Aarab sebbah gheris;Agence Errachidia;0;0;0;0;1;0;0;0;0
Essifa;Agence Errachidia;0;0;0;0;1;0;0;0;0
Tigrigra;Agence meknès;1;0;0;0;0;0;0;0;0
Er rteb;Agence Errachidia;0;0;0;0;1;0;0;0;0
Garrouma;Agence meknès;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
M'daghra;Agence Errachidia;0;0;0;0;1;0;0;0;0
Zaouiat sidi hamza;Agence Errachidia;0;1;0;1;0;0;0;0;0
Taghzout;Agence Errachidia;0;0;1;0;0;0;0;0;0
Ain khadem;Agence meknès;1;0;0;0;1;0;0;0;0
Sidi slimane moule el kifane;Agence meknès;0;0;0;0;0;0;1;0;0
Hassilabied;Agence Errachidia;0;0;0;0;1;0;0;0;0
Tadighoust;Agence Errachidia;1;0;0;0;0;0;0;0;0
Fezna;Agence Errachidia;0;0;0;0;1;0;0;0;0
Ait ayach;Agence meknès;0;0;0;1;0;0;0;0;0
Ain aghbal;Agence meknès;1;0;0;0;0;0;0;0;0
Ait ouallal;Agence meknès;0;0;0;0;1;0;0;0;0
Assoul;Agence Errachidia;1;0;0;0;0;0;0;0;0
Bitit;Agence Meknès;0;0;0;0;1;0;0;0;0
Mohammédia;Agence mohammédia;0;0;0;0;0;0;1;0;0
Bouznika;Agence mohammédia;0;0;0;0;0;0;0;1;0
Ben yakhlef;Agence mohammédia;0;0;0;0;0;0;0;1;0
Benslimane;Agence mohammédia;0;0;0;0;0;0;0;1;0
El mansouria;Agence mohammédia;0;0;0;0;0;0;0;1;0
Fedalate;Agence mohammédia;0;0;0;0;0;0;0;1;0
Dar el ghazouani;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Jamaat fadilat;Agence mohammédia;0;0;0;0;0;0;0;1;0
Sidi bettache;Agence mohammédia;0;0;0;0;0;0;0;1;0
Douar oulad saada;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Sidi moussa ben ali;Agence mohammédia;0;0;0;0;0;0;0;1;0
Chellalate;Agence mohammédia;0;0;0;0;0;0;0;1;0
Ain tekki;Agence mohammédia;0;0;0;0;0;0;1;0;0
Zenata;Agence casablanca;0;0;0;0;0;0;1;0;0
Sidi moussa el majdoub;Agence mohammédia;0;0;0;0;0;0;0;1;0
Ouarzazate;Agence ouarzazate;0;0;0;0;0;0;1;0;0
Zagora;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Afra ;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Tazenakht;Agence ouarzazate;0;0;0;1;0;0;0;0;0
Agdz;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Boumalne dadès;Agence ouarzazate;0;0;1;0;0;0;0;0;0
El kelaa des mgouna;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Foum zguid;Agence ouarzazate;0;0;0;1;0;0;0;0;0
Skoura;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Tabounte;Agence ouarzazate;0;0;0;0;0;0;1;0;0
M'semrir;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Tazarine;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Tizounine;Agence taroudant;1;0;0;0;0;0;0;0;0
Tagounite;Agence ouarzazate;1;0;0;0;0;0;0;0;0
M'hamid el ghizlane;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Tamgroute;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Ait zineb;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Tamezmoute;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Toundoute;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Nkoub;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Tarmigte;Agence ouarzazate;0;0;0;0;0;0;1;0;0
Kasbah Ait Ben Hadda;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Agouim;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Ait aissa oubrahim;Agence Errachidia;1;0;0;0;0;0;0;0;0
Alougoum;Agence ouarzazate;0;0;0;1;0;0;0;0;0
Ferkla el oulia;Agence Errachidia;1;0;0;0;0;0;0;0;0
Ighrem nougdal;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Amerzegane;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Boumalen;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Telouet;Agence ouarzazate;0;1;0;0;0;0;0;0;0
Ikniouen;Agence Errachidia;1;0;0;0;0;0;0;0;0
Tinzouline;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Taghbalt;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Bni zoli;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Tafetchna;Agence ouarzazate;1;0;0;0;0;0;0;0;0
Ait hani;Agence Errachidia;1;0;0;0;0;0;0;0;0
Oujda;Agence oujda;0;0;0;0;0;0;1;0;0
Berkane;Agence Berkane;0;0;0;0;0;0;1;0;0
El aioun sidi mellouk;Agence oujda;0;0;0;0;1;0;0;0;0
Ain beni mathar;Agence oujda;0;1;0;1;0;0;0;0;0
Figuig;Agence oujda;0;1;0;0;0;0;0;0;0
Bouarfa;Agence oujda;0;1;0;0;0;0;0;0;0
Ahfir;Agence Berkane;0;0;0;0;0;0;1;0;0
Ain erreggada;Agence berkane;0;0;0;0;0;0;1;0;0
Aklim;Agence Berkane;0;0;0;0;0;0;1;0;0
Bni drar;Agence oujda;1;0;0;0;0;0;0;0;0
Jerada;Agence oujda;0;1;0;1;0;0;0;0;0
Madagh;Agence Berkane;0;0;0;0;0;0;1;0;0
Naima;Agence oujda;0;0;0;0;1;0;0;0;0
Oued heimer;Agence oujda;0;1;0;1;0;0;0;0;0
Saidia;Agence Berkane;0;0;0;0;0;0;1;0;0
Talsint;Agence Errachidia;0;0;0;0;0;1;0;0;0
Tendrara;Agence oujda;0;1;0;1;0;0;0;0;0
Touissit;Agence oujda;0;1;0;1;0;0;0;0;0
Laayoune nord;Agence oujda;0;0;0;0;1;0;0;0;0
Sidi slimane chraa;Agence Berkane;0;0;0;0;0;0;1;0;0
Beni drar;Agence Berkane;0;0;0;0;0;0;1;0;0
Laatamna;Agence Berkane;0;0;0;0;0;0;1;0;0
Sidi bouhria;Agence oujda;0;0;0;0;0;0;1;0;0
Zegzel;Agence Berkane;0;0;0;0;0;0;1;0;0
Douar sidi moussa;Agence marrakech;0;0;0;0;1;0;0;0;0
Tafoughalt;Agence Berkane;0;0;0;0;0;0;1;0;0
Chwihia;Agence Berkane;0;0;0;0;0;0;1;0;0
Tazaghine;Agence ouarzazate;0;0;1;0;0;0;0;0;0
Beni amer;Agence berkane;0;1;0;0;1;0;0;0;0
Aghbal;Agence Berkane;0;0;0;0;0;0;1;0;0
Mestferki;Agence oujda;0;0;0;0;1;0;0;0;0
Guenfouda;Agence oujda;0;0;0;0;1;0;0;0;0
Rabat;Agence rabat;0;0;0;0;0;0;1;0;0
Salé;Agence rabat;0;0;0;0;0;0;1;0;0
Tamesna;Agence rabat;0;0;0;0;0;0;0;1;0
Skhirate;Agence rabat;0;0;0;0;0;0;0;1;0
Ain el aouda;Agence rabat;0;0;0;0;0;0;0;1;0
Harhoura;Agence rabat;0;0;0;0;0;0;1;0;0
Sidi bouknadel;Agence rabat;0;0;0;0;0;0;0;1;0
Sala al jadida;Agence rabat;0;0;0;0;0;0;0;1;0
Ain atiq;Agence rabat;0;0;0;0;0;0;0;1;0
Sidi yahya zaer;Agence rabat;0;0;0;0;0;0;0;1;0
Souk el had sebbahe;Agence rabat;0;0;0;0;0;0;0;1;0
Témara;Agence rabat;0;0;0;0;0;0;1;0;0
Om azza;Agence rabat;0;0;0;0;0;0;0;1;0
Safi;Agence safi;0;0;0;0;0;0;1;0;0
Youssoufia;Agence safi;0;0;1;0;1;0;0;0;0
Bouguedra;Agence safi;0;0;1;0;1;0;0;0;0
Echemmaia;Agence safi;0;0;1;0;1;0;0;0;0
El hanchane;Agence safi;0;1;0;1;0;0;0;0;0
Jamaat shaim;Agence safi;0;0;1;0;1;0;0;0;0
Laakarta;Agence safi;0;1;0;1;0;0;0;0;0
Ounagha;Agence essaouira;0;0;0;1;0;0;0;0;0
Sebt gzoula;Agence safi;0;1;0;1;0;0;0;0;0
Sidi ahmed;Agence safi;0;0;1;0;1;0;0;0;0
Smimou;Agence essaouira;0;1;0;0;0;0;0;0;0
Tafetachte;Agence essaouira;0;0;0;1;0;0;0;0;0
Talmest;Agence safi;0;1;0;1;0;0;0;0;0
Birkouat;Agence essaouira;0;1;0;1;0;0;0;0;0
essaouira;Agence essaouira;0;0;0;0;0;0;1;0;0
Laaouamera;Agence Larache;1;0;1;0;1;0;0;0;0
Kasbat ayir;Agence el jadida;1;0;0;1;0;0;0;0;0
Hrara;Agence safi;0;1;0;1;0;0;0;0;0
Aquermoud;Agence essaouira;0;1;0;1;0;0;0;0;0
M'khalif;Agence essaouira;0;1;0;1;0;0;0;0;0
Labkhati;Agence safi;0;0;1;0;1;0;0;0;0
Had draa;Agence safi;0;1;0;1;0;0;0;0;0
Meskala;Agence essaouira;0;1;0;1;0;0;0;0;0
Sidi kaouki;Agence essaouira;0;0;0;1;0;0;0;0;0
Jdour;Agence safi;0;0;1;0;1;0;0;0;0
Tanger;Agence tanger;0;0;0;0;0;0;1;0;0
Ksar el kébir;Agence Larache;1;0;1;0;1;0;0;0;0
Ksar sghir;Agence tanger;0;0;1;0;0;1;0;0;0
Larache;Agence Larache;0;0;0;0;0;0;1;0;0
Asilah;Agence tanger;0;0;0;0;0;0;0;1;0
Moulay bousselham;Agence kénitra;0;0;0;1;0;0;0;0;0
Arbaoua;Agence Larache;1;0;1;0;1;0;0;0;0
Dar chaoui;Agence tanger;0;0;1;0;0;0;0;0;0
Gueznaia;Agence tanger;0;0;0;0;0;0;1;0;0
Khémis sahel;Agence Larache;0;0;0;1;0;0;0;0;0
Lalla mimouna;Agence kénitra;0;0;0;1;0;0;0;0;0
Sidi boubker;Agence Larache;1;0;1;0;1;0;0;0;0
Sidi lyamani;Agence Larache;0;0;0;1;0;0;0;0;0
Souk el arbaâ;Agence kénitra;0;0;0;1;0;0;0;0;0
El aouamra;agence Larache;1;0;1;0;1;0;0;0;0
Beni arouss;Agence Larache;0;0;0;1;0;0;0;0;0
Laouamra;agence Larache;1;0;1;0;1;0;0;0;0
Larbaa ayacha;Agence Larache;0;0;0;1;0;0;0;0;0
Melloussa;Agence tanger;0;0;1;0;0;1;0;0;0
Zouada;Agence Larache;1;0;1;0;1;0;0;0;0
Boukhalef;Agence tanger;0;0;0;0;0;0;1;0;0
Fahs anjra;Agence tanger;0;0;1;0;0;1;0;0;0
Jouamaa;Agence tanger;0;0;1;0;0;0;0;0;0
Fersioua;Agence tanger;0;0;1;0;0;1;0;0;0
Beni garfett;Agence Larache;0;0;0;1;0;0;0;0;0
Souaken;Agence Larache;0;1;0;0;0;0;0;0;0
Tatoft;Agence Larache;1;0;1;0;1;0;0;0;0
Sahel;Agence Larache;0;0;0;1;0;0;0;0;0
Sebt zinat;Agence tanger;0;0;1;0;0;0;0;0;0
Tazroute;Agence Larache;0;0;0;1;0;0;0;0;0
Laanasser;Agence taza;0;1;0;0;0;1;0;0;0
El Bahraouine;Agence tanger;0;0;1;0;0;1;0;0;0
Taza;Agence taza;0;0;0;0;0;0;1;0;0
Guercif;Agence taza;1;0;1;0;1;0;0;0;0
Taourirt;Agence taza;1;0;1;0;1;0;0;0;0
Oued amlil;Agence taza;0;1;0;0;0;1;0;0;0
Ajdir taza;Agence taza;0;0;0;1;0;0;0;0;0
Aknoul;Agence taza;0;0;0;1;0;0;0;0;0
Debdou;Agence taza;1;0;1;0;1;0;0;0;0
Oulad zbair;Agence taza;0;1;0;0;0;1;0;0;0
Tahla;Agence taza;0;1;0;0;0;1;0;0;0
Tainaste;Agence taza;0;1;0;0;0;1;0;0;0
Tizi ouasli;Agence taza;0;0;0;1;0;0;0;0;0
Had m'sila;Agence taza;0;1;0;0;0;1;0;0;0
Lamrija;Agence taza;1;0;1;0;1;0;0;0;0
Bni frassen;Agence taza;0;1;0;0;0;1;0;0;0
Tissaf;Agence taza;1;0;1;0;1;0;0;0;0
Mezguitem;Agence taza;0;0;0;1;0;0;0;0;0
Boukhaled;Agence taza;0;1;0;0;0;1;0;0;0
Taddart;Agence taza;1;0;1;0;1;0;0;0;0
Ouled rahou;Agence marrakech;0;0;0;0;1;0;0;0;0
Bourd;Agence taza;0;0;0;1;0;0;0;0;0
Bab marzouka;Agence taza;0;1;0;0;0;1;0;0;0
Gueldaman;Agence taza;0;0;0;1;0;0;0;0;0
Boured;Agence taza;0;0;0;1;0;0;0;0;0
Bouhlou;Agence taza;0;1;0;0;0;1;0;0;0
Msoun;Agence taza;1;0;1;0;1;0;0;0;0
Saka;Agence taza;1;0;1;0;1;0;0;0;0
Ait seghrouchen;Agence taza;0;0;1;0;0;0;0;0;0
M'sila;Agence taza;0;1;0;0;0;1;0;0;0
Meknassa;Agence taza;0;1;0;0;0;1;0;0;0
Bouchfaa;Agence taza;0;1;0;0;0;1;0;0;0
Tindite;Agence taza;1;0;1;0;1;0;0;0;0
Sidi ali borakba;Agence taza;0;0;0;1;0;0;0;0;0
Tétouan;Agence tétouan;0;0;0;0;0;0;1;0;0
Fnideq;Agence tétouan;0;0;0;0;0;0;1;0;0
Zoumi;Agence tétouan;0;1;0;0;1;0;0;0;0
Chefchaouen;Agence tétouan;0;1;0;0;1;0;0;0;0
Martil;Agence tétouan;0;0;0;0;0;0;1;0;0
M'diq;Agence tétouan;0;0;0;0;0;0;1;0;0
Stehat;Agence tétouan;0;0;1;0;0;1;0;0;0
Bab berred;Agence tétouan;0;1;0;0;1;0;0;0;0
Bab taza;Agence tétouan;0;1;0;0;1;0;0;0;0
Dar bni karrich;Agence tétouan;0;0;0;0;0;0;1;0;0
Jebha;Agence tétouan;0;0;1;0;0;1;0;0;0
Karia tétouan;Agence tétouan;0;0;0;0;0;0;0;1;0
Moqrisset;Agence tétouan;0;1;0;0;1;0;0;0;0
Oued laou;Agence tétouan;0;0;1;0;0;1;0;0;0
Khamis m'diq;Agence tétouan;0;0;0;0;0;0;1;0;0
Assaki;Agence tétouan;0;0;1;0;0;1;0;0;0
Ain baida;Agence tétouan;0;1;0;0;1;0;0;0;0
Dar ben karrich;Agence tétouan;0;0;0;0;0;0;1;0;0
Amter;Agence tétouan;0;0;1;0;0;1;0;0;0
Mokrisset;Agence tétouan;0;1;0;0;1;0;0;0;0
Taghramt;Agence tétouan;0;0;0;0;0;0;1;0;0
Khmis anjrah;Agence tétouan;0;0;0;0;0;0;0;1;0
Zinat tetouan;Agence tétouan;0;0;0;0;0;0;0;1;0
Allein tétouan;Agence tétouan;0;0;0;0;0;0;0;1;0
Ain lahcen;Agence tétouan;0;0;0;0;0;0;1;0;0
Centre dar akoubae;Agence tétouan;0;1;0;0;1;0;0;0;0
Tizgane;Agence tétouan;0;0;1;0;0;1;0;0;0
Tanaqoub;Agence tétouan;0;1;0;0;1;0;0;0;0
Jbel lahbib;Agence tétouan;0;0;0;0;0;0;0;1;0
Larbaa beni hassen;Agence tétouan;0;1;0;0;1;0;0;0;0
Belyounech;Agence tétouan;0;0;0;0;0;0;1;0;0
Azla;Agence tétouan;0;0;1;0;0;1;0;0;0
M'tioua;Agence tétouan;0;0;1;0;0;1;0;0;0
Saddina;Agence tétouan;0;0;0;0;0;0;1;0;0
Ain baida;Agence tétouan;0;1;0;0;1;0;0;0;0
Souk sebt oued malha;Agence tétouan;0;1;0;0;1;0;0;0;0
Ouaouzgane;Agence tétouan;0;0;1;0;0;1;0;0;0
Fès;Agence fès;0;0;0;0;0;0;1;0;0
Ifrane;Agence fès;0;1;0;0;0;0;0;0;0
Boulemane;Agence fès;0;0;0;1;0;0;0;0;0
Taounate;Agence fès;0;0;1;0;0;0;0;0;0
Ain cheggag;Agence fès;0;1;0;0;0;0;0;0;0
Bhalil;Agence fès;0;0;0;0;0;1;0;0;0
El menzel;Agence fès;0;0;0;0;0;1;0;0;0
Guigou;Agence fès;0;0;0;1;0;0;0;0;0
Imouzzer kandar;Agence fès;0;1;0;0;0;0;0;0;0
Imouzzer marmoucha;Agence fès;0;0;0;1;0;0;0;0;0
Karia ba mohamed;Agence fès;1;0;0;0;0;0;0;0;0
Matmata;Agence fès;0;0;0;0;0;1;0;0;0
M'haya;Agence fès;0;0;0;0;0;0;0;1;0
Missour;Agence fès;0;0;0;1;0;0;0;0;0
Oulad tayeb;Agence fès;0;0;0;0;0;0;1;0;0
Outat el haj;Agence fès;0;0;0;1;0;0;0;0;0
Rhafsai;Agence fès;0;0;1;0;0;0;0;0;0
Ribate el kheir;Agence fès;0;0;0;0;0;1;0;0;0
Sefrou;Agence fès;0;1;0;0;0;0;0;0;0
Thar es souk;Agence fès;0;0;1;0;0;0;0;0;0
Tissa;Agence fès;0;0;1;0;0;0;0;0;0
Zaouiat bougrine;Agence fès;0;0;0;0;0;1;0;0;0
Tlata ketama;Agence AL Houceima;0;1;0;0;0;0;0;0;0
Galaz;Agence fès;0;0;1;0;0;0;0;0;0
Ourtzagh;Agence fès;0;0;1;0;0;0;0;0;0
Zerarda;Agence fès;0;0;0;0;0;1;0;0;0
Mdaz;Agence fès;0;0;0;1;0;0;0;0;0
Zouagha;Agence fès;0;0;0;0;0;0;1;0;0
Tamedit;Agence fès;0;0;1;0;0;0;0;0;0
Sidi redouane;Agence fès;1;0;0;0;0;0;0;0;0
Ain mediouna;Agence fès;0;0;1;0;0;0;0;0;0
Bni oulid;Agence fès;0;0;1;0;0;0;0;0;0
Enjil;Agence fès;0;0;0;1;0;0;0;0;0
Moulay yacoub;Agence fès;0;0;0;0;0;0;0;1;0
Ras tabouda;Agence fès;0;0;0;0;0;1;0;0;0
Ain aicha;Agence fès;0;0;1;0;0;0;0;0;0
Mkansa;Agence fès;1;0;0;0;0;0;0;0;0
Ain chqef;Agence fès;0;0;0;0;0;0;1;0;0
Serghina;Agence fès;0;0;0;1;0;0;0;0;0
Lamjaara;Agence fès;1;0;0;0;0;0;0;0;0
Jbabra;Agence fès;1;0;0;0;0;0;0;0;0
Bouarouss;Agence fès;0;0;1;0;0;0;0;0;0
Sidi bousberr;Agence fès;1;0;0;0;0;0;0;0;0
Tafrant;Agence fès;0;0;1;0;0;0;0;0;0
Skoura m'daz;Agence fès;0;0;0;1;0;0;0;0;0
Bir tam tam;Agence fès;0;0;0;0;0;1;0;0;0
Bouzemlane;Agence fès;0;0;0;0;0;1;0;0;0
Moulay bouchta;Agence fès;0;0;1;0;0;0;0;0;0
Tahar souk;Agence fès;0;0;1;0;0;0;0;0;0
Outabouabane;Agence fès;0;0;1;0;0;0;0;0;0
Teroual;Agence fès;1;0;0;0;0;0;0;0;0
Beni ouled;Agence fès;0;0;1;0;0;0;0;0;0
Ratba;Agence fès;0;0;1;0;0;0;0;0;0
Ain allah;Agence fès;0;0;0;0;0;0;0;1;0
Tazouta;Agence fès;0;0;0;1;0;0;0;0;0
Sidi harazem;Agence fès;0;0;0;0;0;0;0;1;0
Sidi el makhfi;Agence fès;0;0;1;0;0;0;0;0;0
Tizguite;Agence fès;0;0;1;0;0;0;0;0;0
Beni yazgha;Agence fès;0;0;0;0;0;1;0;0;0
Douar ramla;Agence fès;0;0;1;0;0;0;0;0;0
Hamria;Agence fès;0;0;1;0;0;0;0;0;0
Bouhouda;Agence fès;0;0;1;0;0;0;0;0;0
Settat;Agence settat;0;0;0;0;0;0;1;0;0
Berrechid;Agence settat;0;0;0;0;0;0;1;0;0
Deroua;Agence settat;0;1;0;0;1;0;0;0;0
El borouj;Agence settat;1;0;0;1;0;0;0;0;0
El gara;Agence settat;0;0;0;0;0;0;0;1;0
Guisser;Agence settat;1;0;0;1;0;0;0;0;0
Oulad abbou;Agence settat;0;0;0;0;0;0;0;1;0
Oulad h'riz sahel;Agence settat;0;1;0;0;1;0;0;0;0
Oulad said;Agence settat;0;0;0;0;0;0;1;0;0
Ras el ain;Agence settat;0;0;1;0;0;1;0;0;0
Sidi hajjaj oulad mrah;Agence settat;1;0;0;1;0;0;0;0;0
Lakhyayeta;Agence settat;0;1;0;0;1;0;0;0;0
Quasbatt dar chafaye;Agence settat;1;0;0;1;0;0;0;0;0
Lmnassra;Agence settat;1;0;0;0;0;0;0;0;0
Bni khloug;Agence settat;1;0;0;1;0;0;0;0;0
Mezoura;Agence settat;1;0;0;1;0;0;0;0;0
Sidi hajjaj oued hassar;Agence settat;0;1;0;0;1;0;0;0;0
Ouled saleh;Agence settat;0;1;0;0;1;0;0;0;0
Ouled faress;Agence settat;0;0;1;0;0;1;0;0;0
Had mzoura ;Agence settat;0;1;0;0;1;0;0;0;0
Oulad azzouz;Agence settat;0;1;0;0;1;0;0;0;0
Beni khloug;Agence settat;1;0;0;1;0;0;0;0;0
Sidi mohamed ben rahal;Agence settat;0;0;0;0;0;0;1;0;0
Nkhakhssa;Agence kénitra;0;0;0;0;0;1;0;0;0
Tlete aoulad azouz;Agence khouribga;0;0;0;0;0;1;0;0;0
Ouled bourahema;Agence kénitra;0;0;0;0;1;0;0;0;0
Oulad jerrar;Agence tiznit;0;0;1;0;0;0;0;0;0
Ait Ali Tifni;Agence marrakech;0;0;1;0;0;0;0;0;0
